name,symbol,price,market_cap,circulating_supply,total_supply,volume_24h,price_change_24h,link
michi,$michi,0.02462298,13748611,555770695.0,555770695.0,5127067.0,3.89972,https://www.coingecko.com/en/coins/michicoin
Singularry,singularry,0.01335139,13395258,999897536.93,999897536.93,96603.0,9.93753,https://www.coingecko.com/en/coins/singularry
San Chan,san,0.01391336,12690575,911991151.566898,941964974.625249,610181.0,4.44129,https://www.coingecko.com/en/coins/san-chan
V2EX,v2ex,0.01218802,12182118,999999381.795704,999999381.795704,49639.0,-0.53642,https://www.coingecko.com/en/coins/v2ex
Strategic Solana Reserve,ssr,0.01210509,12172964,1000000000.0,1000000000.0,94989.0,-3.36655,https://www.coingecko.com/en/coins/strategic-solana-reserve
The Bitcoin Mascot,bitty,0.01195218,12017125,999348088.097655,999348088.097655,1322022.0,7.61978,https://www.coingecko.com/en/coins/the-bitcoin-mascot
New XAI Gork,gork,0.0113754,11381257,999992182.53,999992182.53,11695276.0,-7.68882,https://www.coingecko.com/en/coins/new-xai-gork
StreamerCoin,streamer,0.01072802,11088297,999977016.654803,999977016.654803,9744762.0,18.30426,https://www.coingecko.com/en/coins/streamercoin
Central African Republic Meme,car,0.01094438,10911156,996964693.081693,996964693.081693,455228.0,0.99259,https://www.coingecko.com/en/coins/central-african-republic-meme
Gorbagana,gor,0.0104458,10445183,999940787.726316,999940787.726316,8325413.0,-16.2851,https://www.coingecko.com/en/coins/gorbagana
Opus,opus,0.01027246,10302810,999920637.631041,999920637.631041,122258.0,0.4274,https://www.coingecko.com/en/coins/opus-2
DOWGE,dji6930,0.01020932,10262741,999948491.417822,999948491.417822,435567.0,-0.74125,https://www.coingecko.com/en/coins/dowge
mini,mini,0.01162802,10197755,875814824.050582,875814824.050582,176178.0,3.80728,https://www.coingecko.com/en/coins/minimini
Project89,project89,0.00984461,9876147,999878760.453487,999878760.453487,337063.0,12.07701,https://www.coingecko.com/en/coins/project89
Sigma,sigma,0.01084559,9772338,899823516.281846,899823516.281846,1167570.0,-3.33698,https://www.coingecko.com/en/coins/sigma
